"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Leptospirosis","Confirmed cases","Reported cases","N","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",598.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","FI","Finland",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","FR","France",39.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","HU","Hungary",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","IE","Ireland",17.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","IT","Italy",33.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","LT","Lithuania",5.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","LV","Latvia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","MT","Malta",1.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","NL","Netherlands",30.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","PL","Poland",4.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","PT","Portugal",29.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","RO","Romania",181.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","SE","Sweden",4.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","SI","Slovenia",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","SK","Slovakia",27.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2010","UK","United Kingdom",42.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","AT","Austria",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","BE","Belgium",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","BG","Bulgaria",12.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","CZ","Czechia",31.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","DE","Germany",50.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","DK","Denmark",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","EE","Estonia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","EL","Greece",20.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","ES","Spain",4.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","EU27_21","EU (without UK)",487.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","EU27_UK_21","EU (with UK until 2019)",539.000000000,""
